# Mechanics of Materials Modeler export
# material: A36 Steel
# shape: Circle (d=50), area_mm2: 1963.50
# E_GPa: 200.00, sigma_y_MPa: 250.0, sigma_u_MPa: 400.0, n: 0.200, eps_f: 0.250
# bar_length_mm: 500.0, elongation_at_fracture_mm: 125.00
# applied_load_kN: 10.00, max_load_kN: 785.40, factor_of_safety: 78.54
strain,stress_MPa
0.000000,0.000
0.000026,5.102
0.000051,10.204
0.000077,15.306
0.000102,20.408
0.000128,25.510
0.000153,30.612
0.000179,35.714
0.000204,40.816
0.000230,45.918
0.000255,51.020
0.000281,56.122
0.000306,61.224
0.000332,66.327
0.000357,71.429
0.000383,76.531
0.000408,81.633
0.000434,86.735
0.000459,91.837
0.000485,96.939
0.000510,102.041
0.000536,107.143
0.000561,112.245
0.000587,117.347
0.000612,122.449
0.000638,127.551
0.000663,132.653
0.000689,137.755
0.000714,142.857
0.000740,147.959
0.000765,153.061
0.000791,158.163
0.000816,163.265
0.000842,168.367
0.000867,173.469
0.000893,178.571
0.000918,183.673
0.000944,188.776
0.000969,193.878
0.000995,198.980
0.001020,204.082
0.001046,209.184
0.001071,214.286
0.001097,219.388
0.001122,224.490
0.001148,229.592
0.001173,234.694
0.001199,239.796
0.001224,244.898
0.001250,250.000
0.001250,250.000
0.002919,305.138
0.004589,313.337
0.006258,318.688
0.007928,322.756
0.009597,326.076
0.011267,328.901
0.012936,331.372
0.014606,333.574
0.016275,335.566
0.017945,337.388
0.019614,339.070
0.021284,340.634
0.022953,342.096
0.024622,343.472
0.026292,344.770
0.027961,346.001
0.029631,347.173
0.031300,348.290
0.032970,349.358
0.034639,350.383
0.036309,351.367
0.037978,352.315
0.039648,353.228
0.041317,354.111
0.042987,354.964
0.044656,355.791
0.046326,356.593
0.047995,357.371
0.049664,358.127
0.051334,358.862
0.053003,359.579
0.054673,360.277
0.056342,360.958
0.058012,361.622
0.059681,362.271
0.061351,362.905
0.063020,363.526
0.064690,364.133
0.066359,364.727
0.068029,365.310
0.069698,365.881
0.071367,366.440
0.073037,366.990
0.074706,367.529
0.076376,368.058
0.078045,368.578
0.079715,369.090
0.081384,369.592
0.083054,370.086
0.084723,370.572
0.086393,371.051
0.088062,371.522
0.089732,371.986
0.091401,372.443
0.093070,372.893
0.094740,373.336
0.096409,373.774
0.098079,374.205
0.099748,374.631
0.101418,375.050
0.103087,375.464
0.104757,375.873
0.106426,376.276
0.108096,376.675
0.109765,377.068
0.111435,377.457
0.113104,377.841
0.114773,378.220
0.116443,378.595
0.118112,378.966
0.119782,379.332
0.121451,379.694
0.123121,380.052
0.124790,380.407
0.126460,380.757
0.128129,381.104
0.129799,381.447
0.131468,381.787
0.133138,382.123
0.134807,382.456
0.136477,382.786
0.138146,383.112
0.139815,383.435
0.141485,383.755
0.143154,384.072
0.144824,384.386
0.146493,384.697
0.148163,385.005
0.149832,385.311
0.151502,385.613
0.153171,385.913
0.154841,386.211
0.156510,386.506
0.158180,386.798
0.159849,387.088
0.161518,387.375
0.163188,387.660
0.164857,387.943
0.166527,388.223
0.168196,388.501
0.169866,388.777
0.171535,389.051
0.173205,389.323
0.174874,389.592
0.176544,389.859
0.178213,390.125
0.179883,390.388
0.181552,390.650
0.183221,390.909
0.184891,391.167
0.186560,391.423
0.188230,391.676
0.189899,391.929
0.191569,392.179
0.193238,392.427
0.194908,392.674
0.196577,392.919
0.198247,393.163
0.199916,393.405
0.201586,393.645
0.203255,393.884
0.204924,394.121
0.206594,394.356
0.208263,394.590
0.209933,394.822
0.211602,395.053
0.213272,395.283
0.214941,395.511
0.216611,395.738
0.218280,395.963
0.219950,396.187
0.221619,396.409
0.223289,396.631
0.224958,396.850
0.226628,397.069
0.228297,397.286
0.229966,397.502
0.231636,397.717
0.233305,397.930
0.234975,398.142
0.236644,398.354
0.238314,398.563
0.239983,398.772
0.241653,398.979
0.243322,399.186
0.244992,399.391
0.246661,399.595
0.248331,399.798
0.250000,400.000
